U.waterMean:0,U.waterMean:1,U.waterMean:2,U.air:0,U.air:1,U.air:2,U.water:0,U.water:1,U.water:2,U.airMean:0,U.airMean:1,U.airMean:2,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
-0.04067,0.049833,-0.21203,-0.034497,0.043177,-0.0036218,-0.03962,0.035021,-0.23589,-0.038251,0.057024,0.020337,1,0,0.034,0.034,0.182
-0.040316,0.050627,-0.213,-0.033469,0.043826,-0.0040622,-0.038869,0.036014,-0.2366,-0.037581,0.057403,0.019645,1,0.00104,0.034,0.034,0.18096
-0.039961,0.051421,-0.21397,-0.032441,0.044475,-0.0045026,-0.038118,0.037008,-0.2373,-0.036912,0.057783,0.018952,1,0.00208,0.034,0.034,0.17992
-0.039522,0.052003,-0.21467,-0.031391,0.044829,-0.0043277,-0.037304,0.037831,-0.23767,-0.036197,0.057811,0.018696,1,0.00312,0.034,0.034,0.17888
-0.039077,0.052566,-0.21535,-0.03034,0.045157,-0.0040997,-0.036484,0.03864,-0.238,-0.035478,0.05781,0.018478,1,0.00416,0.034,0.034,0.17784
-0.038631,0.05313,-0.21603,-0.029289,0.045486,-0.0038717,-0.035664,0.039449,-0.23833,-0.034759,0.057809,0.018259,1,0.0052,0.034,0.034,0.1768
-0.038094,0.053458,-0.21651,-0.028018,0.045633,-0.0037542,-0.034763,0.040072,-0.23842,-0.033911,0.057522,0.018,1,0.00624,0.034,0.034,0.17576
-0.037547,0.053763,-0.21696,-0.026726,0.045763,-0.0036474,-0.033855,0.040678,-0.23849,-0.033049,0.057207,0.017736,1,0.00728,0.034,0.034,0.17472
-0.037,0.054068,-0.21742,-0.025434,0.045893,-0.0035407,-0.032946,0.041283,-0.23856,-0.032187,0.056892,0.017473,1,0.00832,0.034,0.034,0.17368
-0.036369,0.054072,-0.21758,-0.0244,0.045374,-0.0025941,-0.031976,0.041634,-0.23826,-0.031344,0.055922,0.017899,1,0.00936,0.034,0.034,0.17264
